id,team,season,games_played,wins,losses,ot_losses,points,points_pct,goals_for,goals_against,goals_per_game,goals_against_per_game,goal_differential,shots_for,shots_against,shots_per_game,shots_against_per_game,pp_goals,pp_opportunities,pp_pct,pk_goals_against,pk_opportunities,pk_pct,faceoff_wins,faceoff_total,faceoff_pct,ot_wins,so_wins,so_losses,ot_game_pct,home_wins,home_losses,home_ot_losses,away_wins,away_losses,away_ot_losses,current_streak,last_10_record,division,conference,division_rank,conference_rank,league_rank,created_at
144,VAN,20202021,56,23,29,4,50,0.44642857142857145,151,188,2.6964285714285716,3.357142857142857,-37,1629,1870,29.089285714285715,33.392857142857146,0,0,0.0,0,0,0.0,0,0,0.0,6,0,0,0.0,13,0,0,10,0,0,,,,,,,,2026-02-24 17:47:19
149,VGK,20202021,75,50,19,6,106,0.7066666666666667,244,170,3.2533333333333334,2.2666666666666666,74,2439,2029,32.52,27.053333333333335,0,0,0.0,0,0,0.0,0,0,0.0,12,0,0,0.0,27,0,0,23,0,0,,,,,,,,2026-02-24 17:47:19
154,WPG,20202021,64,34,26,4,72,0.5625,190,176,2.96875,2.75,14,1902,2004,29.71875,31.3125,0,0,0.0,0,0,0.0,0,0,0.0,9,0,0,0.0,15,0,0,19,0,0,,,,,,,,2026-02-24 17:47:19
159,WSH,20202021,61,37,17,7,81,0.6639344262295082,201,179,3.2950819672131146,2.9344262295081966,22,1816,1785,29.770491803278688,29.262295081967213,0,0,0.0,0,0,0.0,0,0,0.0,8,0,0,0.0,18,0,0,19,0,0,,,,,,,,2026-02-24 17:47:19
3,ANA,20212022,89,34,41,14,82,0.4606741573033708,253,296,2.842696629213483,3.3258426966292136,-43,2598,2945,29.191011235955056,33.08988764044944,0,0,0.0,0,0,0.0,0,0,0.0,11,0,0,0.0,18,0,0,16,0,0,,,,,,,,2026-02-24 17:47:19
8,ARI,20212022,88,30,51,7,67,0.3806818181818182,227,326,2.5795454545454546,3.7045454545454546,-99,2267,3102,25.761363636363637,35.25,0,0,0.0,0,0,0.0,0,0,0.0,7,0,0,0.0,13,0,0,17,0,0,,,,,,,,2026-02-24 17:47:19
13,BOS,20212022,95,56,31,8,120,0.631578947368421,291,261,3.0631578947368423,2.7473684210526317,30,3361,2715,35.37894736842105,28.57894736842105,0,0,0.0,0,0,0.0,0,0,0.0,12,0,0,0.0,30,0,0,26,0,0,,,,,,,,2026-02-24 17:47:19
18,BUF,20212022,88,34,42,12,80,0.45454545454545453,250,313,2.840909090909091,3.5568181818181817,-63,2637,2881,29.96590909090909,32.73863636363637,0,0,0.0,0,0,0.0,0,0,0.0,8,0,0,0.0,18,0,0,16,0,0,,,,,,,,2026-02-24 17:47:19
23,CAR,20212022,100,62,29,9,133,0.665,328,258,3.28,2.58,70,3394,2834,33.94,28.34,0,0,0.0,0,0,0.0,0,0,0.0,8,0,0,0.0,37,0,0,25,0,0,,,,,,,,2026-02-24 17:47:19
28,CBJ,20212022,90,41,40,9,91,0.5055555555555555,290,328,3.2222222222222223,3.6444444444444444,-38,2688,3112,29.866666666666667,34.577777777777776,0,0,0.0,0,0,0.0,0,0,0.0,11,0,0,0.0,23,0,0,18,0,0,,,,,,,,2026-02-24 17:47:19
